"id","code","excel_col","description","excel_row","calculation_formula","excel_sheet","name","register_type","default_value"
"__export__.delsol_financial_state_row_4172","F70","","","","","","CANT PERS OCUP.","Configuracion","0"
"__export__.delsol_financial_state_row_4173","F71","","","","","","CANT PERS OCUP.","Configuracion","0"
"__export__.delsol_financial_state_row_4174","F72","","","","F66+F67+F68+F69+F70+F71","","CANT PERS OCUP.","Configuracion","0"
"__export__.delsol_financial_state_row_4175","F73","","","","","","Saldo Caja Inicial","Configuracion","0"
"__export__.delsol_financial_state_row_4176","F74","","","","FX88","","S.CAJA INICIAL","Configuracion","0"
"__export__.delsol_financial_state_row_4177","F75","","","","FX89","","S.CAJA INICIAL","Configuracion","0"
"__export__.delsol_financial_state_row_4178","F76","","","","FX90","","S.CAJA INICIAL","Configuracion","0"
"__export__.delsol_financial_state_row_4179","F77","","","","FX91","","S.CAJA INICIAL","Configuracion","0"
"__export__.delsol_financial_state_row_4180","F78","","","","FX92","","S.CAJA INICIAL","Configuracion","0"
"__export__.delsol_financial_state_row_4181","F79","","","","FX93","","S.CAJA INICIAL","Configuracion","0"
"__export__.delsol_financial_state_row_4182","F8","","","","F2+F3+F4+F5+F6+F7","","VOL. VTAS TRADIC","Configuracion","0"
"__export__.delsol_financial_state_row_4183","F80","","","","","","S.CAJA INICIAL","Configuracion","0"
"__export__.delsol_financial_state_row_4184","F81","","","","","","Contado Unidades Nuevas","Configuracion","0"
"__export__.delsol_financial_state_row_4185","F82","","","","","","CDO UN NUEVAS","Configuracion","0"
"__export__.delsol_financial_state_row_4186","F83","","","","","","CDO UN NUEVAS","Configuracion","0"
"__export__.delsol_financial_state_row_4187","F84","","","","","","CDO UN NUEVAS","Configuracion","0"
"__export__.delsol_financial_state_row_4188","F85","","","","","","CDO UN NUEVAS","Configuracion","0"
"__export__.delsol_financial_state_row_4189","F86","","","","","","CDO UN NUEVAS","Configuracion","0"
"__export__.delsol_financial_state_row_4190","F87","","","","","","CDO UN NUEVAS","Configuracion","0"
"__export__.delsol_financial_state_row_4191","F88","","","","F82+F83+F84+F85+F86+F87","","CDO UN NUEVAS","Configuracion","0"
"__export__.delsol_financial_state_row_4192","F89","","","","","","#¿NOMBRE?","Configuracion","0"
"__export__.delsol_financial_state_row_4193","F9","","","","","","Vol. Ventas Usados","Configuracion","0"
"__export__.delsol_financial_state_row_4194","F90","","","","","","USADOS","Configuracion","0"
"__export__.delsol_financial_state_row_4195","F91","","","","","","USADOS","Configuracion","0"
"__export__.delsol_financial_state_row_4196","F92","","","","","","USADOS","Configuracion","0"
"__export__.delsol_financial_state_row_4197","F93","","","","","","USADOS","Configuracion","0"
"__export__.delsol_financial_state_row_4198","F94","","","","","","USADOS","Configuracion","0"
"__export__.delsol_financial_state_row_4199","F95","","","","","","USADOS","Configuracion","0"
"__export__.delsol_financial_state_row_4200","F96","","","","F90+F91+F92+F93+F94+F95","","USADOS","Configuracion","0"
"__export__.delsol_financial_state_row_4201","F97","","","","","","#¿NOMBRE?","Configuracion","0"
"__export__.delsol_financial_state_row_4202","F98","","","","","","REPUESTOS","Configuracion","0"
"__export__.delsol_financial_state_row_4203","F99","","","","","","REPUESTOS","Configuracion","0"
"__export__.delsol_financial_state_row_4204","FF1","","","","","","REPUESTOS","Configuracion","0"
"__export__.delsol_financial_state_row_4205","FF10","","","","","","SERVICIOS","Configuracion","0"
"__export__.delsol_financial_state_row_4206","FF11","","","","","","SERVICIOS","Configuracion","0"
"__export__.delsol_financial_state_row_4207","FF12","","","","","","SERVICIOS","Configuracion","0"
"__export__.delsol_financial_state_row_4208","FF13","","","","FF7+FF8+FF9+FF10+FF11 +FF12","","SERVICIOS","Configuracion","0"
"__export__.delsol_financial_state_row_4209","FF14","","","","","","#¿NOMBRE?","Configuracion","0"
